"index","pe","weight","avg"
2254,7,7,1
2255,7,7,1
2256,7,7,1
2257,7,7,1
2258,7,7,1
2259,7,7,1
226,4,4,1
2260,7,7,1
2261,7,7,1
2262,7,7,1
2263,7,7,1
2264,7,7,1
2265,7,7,1
2266,7,7,1
2267,7,7,1
2268,7,7,1
2269,7,7,1
227,4,4,1
2270,7,7,1
2271,7,7,1
2272,7,7,1
2273,7,7,1
2274,7,7,1
2275,7,7,1
2276,7,7,1
2277,7,7,1
2278,7,7,1
2279,7,7,1
228,4,4,1
2280,7,7,1
2281,7,7,1
2282,7,7,1
2283,7,7,1
2284,7,7,1
2285,14,14,1
2286,7,7,1
2287,7,7,1
2288,7,7,1
2289,7,7,1
229,4,4,1
2290,7,7,1
2291,7,7,1
2292,7,7,1
2293,7,7,1
2294,7,7,1
2295,7,7,1
2296,7,7,1
2297,10,10,1
2298,7,7,1
2299,7,7,1
23,8,8,1
230,4,4,1
2300,7,7,1
2301,9,9,1
2302,7,7,1
2303,7,7,1
2304,7,7,1
2305,7,7,1
2306,7,7,1
2307,7,7,1
2308,7,7,1
2309,7,7,1
231,4,4,1
2310,7,7,1
2311,7,7,1
2312,7,7,1
2313,7,7,1
2314,7,7,1
2315,7,7,1
2316,7,7,1
2317,7,7,1
2318,7,7,1
2319,9,9,1
232,4,4,1
2320,7,7,1
2321,7,7,1
2322,10,10,1
2323,7,7,1
2324,7,7,1
2325,7,7,1
2326,7,7,1
2327,7,7,1
2328,10,10,1
2329,7,7,1
233,4,4,1
2330,7,7,1
2331,7,7,1
2332,7,7,1
2333,7,7,1
2334,7,7,1
2335,7,7,1
2336,7,7,1
2337,7,7,1
2338,7,7,1
2339,7,7,1
234,4,4,1
2340,7,7,1
2341,7,7,1
2342,7,7,1
2343,7,7,1
2344,7,7,1
2345,7,7,1
2346,7,7,1
2347,11,11,1
2348,7,7,1
2349,7,7,1
235,4,4,1
2350,9,9,1
2351,7,7,1
2352,7,7,1
2353,18,18,1
2354,7,7,1
2355,7,7,1
2356,7,7,1
2357,7,7,1
2358,7,7,1
2359,7,7,1
236,4,4,1
2360,10,10,1
2361,7,7,1
2362,7,7,1
2363,8,8,1
2364,7,7,1
2365,7,7,1
2366,7,7,1
2367,7,7,1
2368,7,7,1
2369,8,8,1
237,4,4,1
2370,8,8,1
2371,7,7,1
2372,7,7,1
2373,7,7,1
2374,7,7,1
2375,7,7,1
2376,7,7,1
2377,7,7,1
2378,7,7,1
2379,10,10,1
238,33,33,1
2380,7,7,1
2381,7,7,1
2382,7,7,1
2383,18,18,1
2384,7,7,1
2385,7,7,1
2386,7,7,1
2387,7,7,1
2388,7,7,1
2389,7,7,1
239,4,4,1
2390,7,7,1
2391,7,7,1
2392,7,7,1
2393,7,7,1
2394,7,7,1
2395,20,20,1
2396,7,7,1
2397,7,7,1
2398,7,7,1
2399,7,7,1
24,5,5,1
240,4,4,1
2400,7,7,1
2401,7,7,1
2402,7,7,1
